id,abstraction,role_stereotype
NotificationHolder,concrete,Information Holder
RecipientPresenter,concrete,Coordinator
ImapFolder,concrete,Structurer
SearchAccount,concrete,Coordinator
MessageBuilder,abstract,Service Provider
RecipientPresenter,concrete,Coordinator
StoreConfig,interface,Information Holder
MessageBuilder,abstract,Service Provider
RecipientPresenter,concrete,Coordinator
ImapResponse,concrete,Information Holder
MessageBuilder,abstract,Service Provider
SearchResponse,concrete,Structurer
WebDavTransport,concrete,Service Provider
MessageTopView,concrete,Interfacer
MessageHeader,concrete,Interfacer
RemoveNotificationResult,concrete,Information Holder
Storage,concrete,Structurer
WebDavTransport,concrete,Service Provider
StorageEditor,concrete,Structurer
MessageCompose,concrete,Controller
AccountSetupIncoming,concrete,Interfacer
MessagingException,concrete,Information Holder
MigrationsHelper,interface,Structurer
ComposeCryptoStatus,concrete,Information Holder
AuthType,concrete,Information Holder
MessageReference,concrete,Information Holder
ImapStore,concrete,Structurer
WebDavStore,concrete,Information Holder
RemoteStore,abstract,Structurer
IdentityAdapter,concrete,Structurer
ConnectionSecurity,concrete,Information Holder
MessageRemovalListener,interface,Service Provider
Part,interface,Service Provider
Migrations,concrete,Coordinator
Body,interface,Service Provider
PgpMessageBuilder,concrete,Service Provider
AttachmentViewInfo,concrete,Information Holder
MessagingException,concrete,Information Holder
ServerSettings,concrete,Information Holder
MessageLoaderHelper,concrete,Service Provider
Folder,abstract,Structurer
DefaultTrustedSocketFactory,concrete,Structurer
MessagingException,concrete,Information Holder
LocalStore,interface,Service Provider
ProgressDialogFragment,concrete,Interfacer
RemoteStore,abstract,Structurer
LocalFolder,concrete,Information Holder
MessageCompose,concrete,Controller
AttachmentInfoExtractor,concrete,Service Provider
StoreSchemaDefinition,concrete,Service Provider
LocalMessage,concrete,Information Holder
Message,abstract,Structurer
Contacts,concrete,Service Provider
RemoteStore,abstract,Structurer
LocalFolder,concrete,Information Holder
MessageCompose,concrete,Controller
Pop3Store,concrete,Service Provider
LocalFolder,concrete,Information Holder
MessageViewInfo,concrete,Information Holder
RemoteStore,abstract,Structurer
LocalFolder,concrete,Information Holder
MessageCompose,concrete,Controller
Pop3Store,concrete,Service Provider
LocalMessage,concrete,Information Holder
Folder,abstract,Structurer
StorageEditor,concrete,Structurer
EolConvertingEditText,concrete,Service Provider
Authentication,concrete,Service Provider
LocalFolder,concrete,Information Holder
MessageCompose,concrete,Controller
DefaultBodyFactory,concrete,Service Provider
LocalStore,interface,Service Provider
MessagingException,concrete,Information Holder
Message,abstract,Structurer
RecipientMvpView,concrete,Interfacer
LocalMessage,concrete,Information Holder
LocalFolder,concrete,Information Holder
PreviewResult,concrete,Information Holder
MessageCompose,concrete,Controller
LocalMessageLoader,concrete,Service Provider
LocalStore,interface,Service Provider
LocalSearch,concrete,Structurer
Multipart,abstract,Structurer
FetchProfile,concrete,Structurer
MessageBuilder,abstract,Service Provider
ImapStore,concrete,Structurer
LocalFolder,concrete,Information Holder
Part,interface,Service Provider
MessageCompose,concrete,Controller
ImapPusher,concrete,Service Provider
LocalStore,interface,Service Provider
ImapFolder,concrete,Structurer
Clock,concrete,Service Provider
MessageCompose,concrete,Controller
LocalFolder,concrete,Information Holder
MessageCompose,concrete,Controller
MessageHeader,concrete,Interfacer
LocalStore,interface,Service Provider
MessagingException,concrete,Information Holder
ImapMessage,concrete,Structurer
LocalFolder,concrete,Information Holder
MessageCompose,concrete,Controller
LocalStore,interface,Service Provider
FetchProfile,concrete,Structurer
Throttle,concrete,Controller
ImapFolder,concrete,Structurer
MessageCompose,concrete,Controller
LocalFolder,concrete,Information Holder
MessageCompose,concrete,Controller
LocalStore,interface,Service Provider
LockableDatabase,concrete,Service Provider
Body,interface,Service Provider
ImapFolder,concrete,Structurer
LocalFolder,concrete,Information Holder
LocalSearch,concrete,Structurer
MessageHeader,concrete,Interfacer
MessageProvider,concrete,Coordinator
MessageListFragment,concrete,Interfacer
MessageCompose,concrete,Controller
WebDavMessage,concrete,Service Provider
LocalStore,interface,Service Provider
Message,abstract,Structurer
DecryptedFileProvider,concrete,Service Provider
ComposePgpInlineDecider,concrete,Service Provider
ComposePgpEnableByDefaultDecider,concrete,Service Provider
WebDavFolder,concrete,Service Provider
MessageViewHolder,concrete,Interfacer
FileFactory,interface,Service Provider
MessageCompose,concrete,Controller
Message,abstract,Structurer
NotificationController,concrete,Controller
MessageCompose,concrete,Controller
Account,concrete,Information Holder
Folder,abstract,Structurer
Preferences,concrete,Structurer
FolderInfoHolder,concrete,Information Holder
Account,concrete,Information Holder
AttachmentInfoExtractor,concrete,Service Provider
MessagingListener,interface,Service Provider
Part,interface,Service Provider
SyncNotifications,concrete,Coordinator
AccountSetupOptions,concrete,Interfacer
AttachmentPresenter,concrete,Coordinator
QuotedMessageMvpView,concrete,Interfacer
Account,concrete,Information Holder
NotificationActionCreator,concrete,Service Provider
Account,concrete,Information Holder
UnreadWidgetProperties,concrete,Coordinator
Identity,concrete,Information Holder
FileFactory,interface,Service Provider
SyncNotifications,concrete,Coordinator
MessageCompose,concrete,Controller
FolderList,concrete,Interfacer
AttachmentView,concrete,Coordinator
FileFactory,interface,Service Provider
SyncNotifications,concrete,Coordinator
FolderList,concrete,Interfacer
ServerSettings,concrete,Information Holder
MessageCompose,concrete,Controller
SimpleMessageFormat,concrete,Information Holder
